body,title
"Lo que vivió la cómica Henar Álvarez hace menos de un mes fue una experiencia casi premonitoria. Se encontraba en plena presentación del evento LGTBI+ más importante de Extremadura cuando un chascarrillo sobre su exalcalde Miguel Celdrán, fallecido 11 años atrás, trajo consigo las quejas del público y del Ayuntamiento. En su caso, el consistorio estimó que sus palabras quedaron como “anécdota, pues desafortunadas o no, carecían de relevancia y recorrido”. Un paso más allá va la nueva propuesta de ficción que protagoniza Arturo Valls, Dos años y un día. En esta comedia de situación, dirigida por los albaceteños Ernesto Sevilla y Raúl Navarro, Valls interpreta a una versión de sí mismo bajo el nombre de Carlos Ferrer: el presentador más popular de España y el más querido por los espectadores. Pero en esta ficción que firma LaCoproductora, que se estrenó el pasado 3 de julio en Atresplayer, su protagonista es condenado a prisión por una broma.",Arturo Valls pasa de presentador a recluso por rebasar los límites del humor en ‘Dos años y un día’
"El problema para David Simon al crear una obra maestra como The Wire (2002) es que cualquier producción posterior va a ser comparada siempre con ella, al margen de la calidad de la nueva serie. Es el caso de La ciudad es nuestra (2022), basada en el libro homónimo de Justin Fenton y en el que Simon vuelve a ser coresponsable de la misma.",‘La ciudad es nuestra’ o la corrupción policial
"Latinoamérica y el Caribe cada vez sufren más de hambre. Entre 2020 y 2021, la población desnutrida aumentó en cuatro millones, alcanzando los 56,4 millones (el 8,6% de la población regional), según el informe anual El estado de la seguridad alimentaria y la nutrición en el mundo 2022 (SOFI, por sus siglas en inglés), publicado este miércoles por cinco agencias de Naciones Unidas. Cuatro de cada 10 habitantes de la región viven con inseguridad alimentaria, es decir, que carece de acceso regular a suficientes alimentos. La pandemia ha empujado bruscamente hacia atrás los índices y la guerra en Ucrania profundizará los retrocesos este año.",Cuatro de cada diez latinoamericanos viven en la inseguridad alimentaria
"El verano está por llegar —en algunas partes de México ya hace buen clima— por lo que hay que empezar a guardar los zapatos más cálidos como botas y dejar a la vista sandalias y tenis ligeros. Si tienes un gran clóset o mucho espacio en tu casa no tendrás problema para almacenarlos todos y tener a la mano los que más uses. Sin embargo, si cuentas con poco espacio, buscarás soluciones para ahorrar espacio y mantener tu calzado en buen estado.",Cinco organizadores de zapatos para ahorrar espacio en el clóset y proteger tu calzado
"La OTAN (Organización del Tratado del Atlántico Norte) ha aprobado en la cumbre de Madrid (29 y 30 de junio) su nuevo Concepto Estratégico, el documento que plasma los grandes objetivos y prioridades de la Alianza y que señala las amenazas que ve en el horizonte y a las que podría tener que enfrentarse. El Concepto se ha actualizado nueve veces, incluida la de Madrid, desde la fundación de la OTAN en 1949. El nuevo documento busca adaptar la organización atlántica a un profundo cambio geopolítico.",La OTAN se rearma ante un nuevo mapa de amenazas: análisis de su nueva estrategia punto por punto
"Last October, during the presentation of its World Economic Outlook, the International Monetary Fund (IMF) stated that “the global recovery is underway despite the resurgence of the pandemic.” The world’s growth was expected to be 4.9% in 2022.","As the global economy deflates, here is what the coming crisis looks like"
"The identity of the Highland Park shooter, who on Monday killed seven people and wounded at least 38 more at the local Independence Day parade, has especially impacted the mayor, Nancy Rotering. Years ago, when Robert E. “Bobby” Crimo III was still a child, Rotering was his Cub Scout leader, and she says that at the time there was nothing to indicate that a normal kid, like so many others in this affluent suburb of Chicago, would “become this angry, this hateful,” she told NBC’s Today talk show in an interview released on Tuesday.",Highland Park killer posted dozens of videos with violent and disturbing images
"La incontestable mayoría absoluta (58 diputados de un total de 109) lograda por el PP en las elecciones andaluzas proviene no solo de la fidelidad de sus votantes (82,2%), sino también de la transferencia de voto del PSOE, Ciudadanos y Vox, según se desprende del estudio postelectoral de los comicios al Parlamento andaluz elaborado por el Centro de Investigaciones Sociológicas (CIS), publicado este martes. El PP de Juan Manuel Moreno, que pidió el voto transversal de todas las formaciones políticas, se nutrió en un 15,6% de antiguos electores que optaron en los comicios del 2 de diciembre de 2018 por la socialista Susana Díaz, sostiene la encuesta.","Casi el 16% de los votantes del PSOE en 2018 ha optado por el PP en las últimas elecciones andaluzas, según el CIS"
"Parece mentira, pero existe un sector sin paro con los mejores sueldos en España. Es el área tecnológica y, dentro de ella, hay una especialización que está en auge: el big data. Esta industria recopila, almacena y analiza el reguero de datos que generamos cada segundo, ya sea al subir una foto a Instagram o buscar dónde cenar. Detrás de cada gesto que hacemos hay un equipo especializado en macrodatos que se dedica a estudiar nuestras preferencias, tendencias y perfiles. Son ingenieros, científicos, programadores o analistas. Todos los trabajadores de este sector entrevistados coinciden en una afirmación: las oportunidades en el big data abundan. “Yo nunca he tenido que echar currículum, las ofertas me han llegado solas”, asegura Daniel Castro Chinco, ingeniero de macrodatos. Tal es el auge de la industria que la agenda de transformación digital del Gobierno incluye como prioridad que el porcentaje de empresas que utilizan el big data crezca 10 puntos, hasta el 25%, durante los próximos cinco años. Aquí, un repaso de algunas oportunidades dentro del sector.","Trabajar en el ‘big data’: “Nunca he tenido que echar currículum, las ofertas me han llegado solas”"
"La convocatoria de oferta de empleo público llega con un pan bajo el brazo. La batería de novedades que incorpora esta edición que difícilmente volverá a repetirse alienta un camino de grandes posibilidades para hacerse con una plaza. Para empezar, se trata de una macroconvocatoria (45.000 plazas) porque unifica las que no se pudieron convocar por la prórroga de los Presupuestos y por la pandemia. Prevista su publicación en el BOE en diciembre, lo que abrirá plazo para presentar instancias, la coordinadora general del área de oposiciones del Centro de Estudios Financieros, CEF, Ángela de las Heras, aconseja: “Si se va a presentar, póngase a estudiar ya. Pero antes, infórmese muy bien de los cuerpos a los que puede acceder”.",La carrera por las oposiciones ha empezado: en juego hay 45.000 trabajos para toda la vida
